gene_id,seqid,gene_type_raw,gene_name,mgi_id,gene_type
ENSMUSG00000081279.1,chr4,unprocessed_pseudogene,Vmn1r-ps2,MGI:3650274,pseudogene
ENSMUSG00000083742.2,chr4,unprocessed_pseudogene,Vmn1r-ps3,MGI:3780230,pseudogene
ENSMUSG00000115072.1,chr4,protein_coding,Vmn1r2,MGI:4438400,protein-coding gene
ENSMUSG00000115466.1,chr4,protein_coding,Vmn1r3,MGI:4438436,protein-coding gene
ENSMUSG00000085180.1,chr4,lncRNA,AI838599,MGI:3510989,lncRNA
ENSMUSG00000081165.1,chr4,processed_pseudogene,Gm11783,MGI:3649458,pseudogene
ENSMUSG00000083632.1,chr4,processed_pseudogene,Gm11786,MGI:3649460,pseudogene
ENSMUSG00000083489.1,chr4,unprocessed_pseudogene,Gm11784,MGI:3649457,pseudogene
ENSMUSG00000081711.1,chr4,processed_pseudogene,Gm11785,MGI:3649459,pseudogene
ENSMUSG00000081660.1,chr4,unprocessed_pseudogene,Gm11787,MGI:3702103,pseudogene
ENSMUSG00000094253.1,chr4,miRNA,Mir3471-2,MGI:4441437,miRNA
ENSMUSG00000028232.13,chr4,protein_coding,Tmem68,MGI:1919348,protein-coding gene
ENSMUSG00000028233.6,chr4,protein_coding,Tgs1,MGI:2151797,protein-coding gene
ENSMUSG00000088790.1,chr4,snoRNA,Gm22541,MGI:5452318,snoRNA
ENSMUSG00000085394.1,chr4,lncRNA,2210414B05Rik,MGI:1917393,lncRNA
ENSMUSG00000042228.14,chr4,protein_coding,Lyn,MGI:96892,protein-coding gene
ENSMUSG00000083186.1,chr4,processed_pseudogene,Gm11805,MGI:3649544,pseudogene
ENSMUSG00000077271.1,chr4,snoRNA,Gm22781,MGI:5452558,snoRNA
ENSMUSG00000055216.3,chr4,pseudogene,9430025C20Rik,MGI:3045277,pseudogene
ENSMUSG00000028234.6,chr4,protein_coding,Rps20,MGI:1914677,protein-coding gene
ENSMUSG00000088351.1,chr4,snoRNA,Gm24016,MGI:5453793,snoRNA
ENSMUSG00000077293.1,chr4,snoRNA,Gm24125,MGI:5453902,snoRNA
ENSMUSG00000078365.5,chr4,protein_coding,Mos,MGI:97052,protein-coding gene
ENSMUSG00000003282.9,chr4,protein_coding,Plag1,MGI:1891916,protein-coding gene
ENSMUSG00000042198.12,chr4,protein_coding,Chchd7,MGI:1913683,protein-coding gene
ENSMUSG00000068240.5,chr4,protein_coding,Gm11808,MGI:3649356,protein-coding gene
ENSMUSG00000082991.1,chr4,processed_pseudogene,Rps10-ps3,MGI:3649547,pseudogene
ENSMUSG00000028236.3,chr4,protein_coding,Sdr16c5,MGI:2668443,protein-coding gene
ENSMUSG00000071019.11,chr4,protein_coding,Sdr16c6,MGI:2685269,protein-coding gene
ENSMUSG00000045573.9,chr4,protein_coding,Penk,MGI:104629,protein-coding gene
ENSMUSG00000085996.1,chr4,lncRNA,A830012C17Rik,MGI:2441830,lncRNA
ENSMUSG00000085155.3,chr4,processed_pseudogene,Gm11780,MGI:3650485,pseudogene
ENSMUSG00000095971.1,chr4,snoRNA,Gm26436,MGI:5456213,snoRNA
ENSMUSG00000066324.2,chr4,protein_coding,Impad1,MGI:1915720,protein-coding gene
ENSMUSG00000083228.1,chr4,processed_pseudogene,Gm11779,MGI:3650487,pseudogene
ENSMUSG00000087099.1,chr4,lncRNA,Gm11782,MGI:3651017,lncRNA
ENSMUSG00000084237.1,chr4,processed_pseudogene,Gm11781,MGI:3650702,pseudogene
ENSMUSG00000086066.7,chr4,lncRNA,4930423M02Rik,MGI:1921122,lncRNA
ENSMUSG00000049119.14,chr4,protein_coding,Fam110b,MGI:1916593,protein-coding gene
ENSMUSG00000077392.1,chr4,snoRNA,Gm24337,MGI:5454114,snoRNA
ENSMUSG00000083232.1,chr4,processed_pseudogene,Gm11796,MGI:3651076,pseudogene
ENSMUSG00000084360.1,chr4,processed_pseudogene,Gm11797,MGI:3651074,pseudogene
ENSMUSG00000028243.5,chr4,protein_coding,Ubxn2b,MGI:1915303,protein-coding gene
ENSMUSG00000080961.1,chr4,processed_pseudogene,Gm11798,MGI:3651068,pseudogene
ENSMUSG00000028240.2,chr4,protein_coding,Cyp7a1,MGI:106091,protein-coding gene
ENSMUSG00000085295.7,chr4,lncRNA,4930430E12Rik,MGI:1918889,lncRNA
ENSMUSG00000028249.15,chr4,protein_coding,Sdcbp,MGI:1337026,protein-coding gene
ENSMUSG00000104347.1,chr4,TEC,Gm37689,MGI:5610917,TEC
ENSMUSG00000028245.15,chr4,protein_coding,Nsmaf,MGI:1341864,protein-coding gene
ENSMUSG00000081913.1,chr4,processed_pseudogene,Gm11803,MGI:3650653,pseudogene
ENSMUSG00000081388.1,chr4,processed_pseudogene,Gm11801,MGI:3650652,pseudogene
ENSMUSG00000077302.1,chr4,snoRNA,Gm22473,MGI:5452250,snoRNA
ENSMUSG00000041272.11,chr4,protein_coding,Tox,MGI:2181659,protein-coding gene
ENSMUSG00000086052.1,chr4,lncRNA,Gm11802,MGI:3650651,lncRNA
ENSMUSG00000083023.1,chr4,processed_pseudogene,Gm11804,MGI:3650654,pseudogene
ENSMUSG00000086070.1,chr4,lncRNA,8430436N08Rik,MGI:1918760,lncRNA
ENSMUSG00000085630.1,chr4,lncRNA,Gm11795,MGI:3650854,lncRNA
ENSMUSG00000082024.1,chr4,processed_pseudogene,Gm11794,MGI:3650853,pseudogene
ENSMUSG00000094771.1,chr4,snoRNA,Gm23860,MGI:5453637,snoRNA
ENSMUSG00000083068.1,chr4,processed_pseudogene,Gm11800,MGI:3650447,pseudogene
ENSMUSG00000041261.9,chr4,protein_coding,Car8,MGI:88253,protein-coding gene
ENSMUSG00000079993.2,chr4,processed_pseudogene,Gm11799,MGI:3650446,pseudogene
ENSMUSG00000096388.1,chr4,miRNA,Gm25355,MGI:5455132,miRNA
ENSMUSG00000103127.1,chr4,TEC,Gm37386,MGI:5610614,TEC
ENSMUSG00000082151.3,chr4,processed_pseudogene,Gm11810,MGI:3652275,pseudogene
ENSMUSG00000047187.9,chr4,protein_coding,Rab2a,MGI:1928750,protein-coding gene
ENSMUSG00000082122.1,chr4,processed_pseudogene,Gm11809,MGI:3650709,pseudogene
ENSMUSG00000041235.12,chr4,protein_coding,Chd7,MGI:2444748,protein-coding gene
ENSMUSG00000083786.1,chr4,processed_pseudogene,Rps18-ps2,MGI:3652274,pseudogene
ENSMUSG00000075958.1,chr4,snRNA,Gm23423,MGI:5453200,snRNA
ENSMUSG00000041216.15,chr4,protein_coding,Clvs1,MGI:1921688,protein-coding gene
ENSMUSG00000086233.1,chr4,lncRNA,Gm11816,MGI:3650294,lncRNA
ENSMUSG00000087564.1,chr4,lncRNA,Gm11817,MGI:3650295,lncRNA
ENSMUSG00000028207.18,chr4,protein_coding,Asph,MGI:1914186,protein-coding gene
ENSMUSG00000092724.1,chr4,miRNA,Gm25677,MGI:5455454,miRNA
ENSMUSG00000064698.1,chr4,snRNA,Gm24152,MGI:5453929,snRNA
ENSMUSG00000085558.7,chr4,lncRNA,4930412C18Rik,MGI:2443490,lncRNA
ENSMUSG00000051279.2,chr4,protein_coding,Gdf6,MGI:95689,protein-coding gene
ENSMUSG00000082843.2,chr4,transcribed_processed_pseudogene,4930448K20Rik,MGI:1921912,pseudogene
ENSMUSG00000084095.1,chr4,processed_pseudogene,Gm11834,MGI:3650692,pseudogene
ENSMUSG00000082501.1,chr4,processed_pseudogene,Gm11835,MGI:3650540,pseudogene
ENSMUSG00000084215.3,chr4,processed_pseudogene,Gm11814,MGI:3650512,pseudogene
ENSMUSG00000086080.7,chr4,lncRNA,1700123O12Rik,MGI:1920874,lncRNA
ENSMUSG00000086455.1,chr4,lncRNA,Gm11815,MGI:3650511,lncRNA
ENSMUSG00000081361.1,chr4,processed_pseudogene,Gm11813,MGI:3649543,pseudogene
ENSMUSG00000083997.1,chr4,processed_pseudogene,Gm12920,MGI:3652000,pseudogene
ENSMUSG00000092880.1,chr4,miRNA,Mir3471-1,MGI:4441436,miRNA
ENSMUSG00000066315.9,chr4,processed_pseudogene,Gm12918,MGI:3652005,pseudogene
ENSMUSG00000083220.1,chr4,processed_pseudogene,Gm12919,MGI:3652001,pseudogene
ENSMUSG00000106355.1,chr4,miRNA,n-TSaga9,MGI:4414029,miRNA
ENSMUSG00000059482.15,chr4,protein_coding,2610301B20Rik,MGI:1914407,protein-coding gene
ENSMUSG00000081715.1,chr4,processed_pseudogene,Rps11-ps3,MGI:3649802,pseudogene
ENSMUSG00000049969.3,chr4,protein_coding,Plekhf2,MGI:1919051,protein-coding gene
ENSMUSG00000050323.14,chr4,protein_coding,Ndufaf6,MGI:1924197,protein-coding gene
ENSMUSG00000086765.7,chr4,lncRNA,Gm11827,MGI:3649801,lncRNA
ENSMUSG00000083025.1,chr4,processed_pseudogene,Gm11829,MGI:3649804,pseudogene
ENSMUSG00000105333.1,chr4,miRNA,Mir684-2,MGI:3629642,miRNA
ENSMUSG00000081490.1,chr4,processed_pseudogene,Gm11830,MGI:3649825,pseudogene
ENSMUSG00000028211.11,chr4,protein_coding,Trp53inp1,MGI:1926609,protein-coding gene
ENSMUSG00000028212.16,chr4,protein_coding,Ccne2,MGI:1329034,protein-coding gene
ENSMUSG00000040738.10,chr4,protein_coding,Ints8,MGI:1919906,protein-coding gene
ENSMUSG00000045205.16,chr4,protein_coding,Dpy19l4,MGI:2685869,protein-coding gene
ENSMUSG00000089185.1,chr4,snRNA,Gm22940,MGI:5452717,snRNA
ENSMUSG00000040728.15,chr4,protein_coding,Esrp1,MGI:1917326,protein-coding gene
ENSMUSG00000081884.1,chr4,processed_pseudogene,Gm11821,MGI:3649777,pseudogene
ENSMUSG00000082255.1,chr4,processed_pseudogene,Gm11822,MGI:3649778,pseudogene
ENSMUSG00000040720.15,chr4,protein_coding,Virma,MGI:1913435,protein-coding gene
ENSMUSG00000086625.1,chr4,lncRNA,Gm11831,MGI:3650069,lncRNA
ENSMUSG00000078773.11,chr4,protein_coding,Rad54b,MGI:3605986,protein-coding gene
ENSMUSG00000094595.1,chr4,protein_coding,Fsbp,MGI:5301008,protein-coding gene
ENSMUSG00000086103.1,chr4,lncRNA,Gm11832,MGI:3650310,lncRNA
ENSMUSG00000084046.1,chr4,processed_pseudogene,Gm11833,MGI:3650311,pseudogene
ENSMUSG00000028214.13,chr4,protein_coding,Gem,MGI:99844,protein-coding gene
ENSMUSG00000028217.11,chr4,protein_coding,Cdh17,MGI:1095414,protein-coding gene
ENSMUSG00000084518.1,chr4,misc_RNA,Gm22477,MGI:5452254,misc_RNA
ENSMUSG00000080663.2,chr4,miRNA,Gm25002,MGI:5454779,miRNA
ENSMUSG00000049225.14,chr4,protein_coding,Pdp1,MGI:2685870,protein-coding gene
ENSMUSG00000085614.1,chr4,lncRNA,1700123M08Rik,MGI:1923915,lncRNA
ENSMUSG00000085027.1,chr4,lncRNA,Gm11840,MGI:3651502,lncRNA
ENSMUSG00000085467.1,chr4,lncRNA,Gm11842,MGI:3651165,lncRNA
ENSMUSG00000049488.14,chr4,protein_coding,Tmem67,MGI:1923928,protein-coding gene
ENSMUSG00000052137.11,chr4,protein_coding,Rbm12b2,MGI:1924854,protein-coding gene
ENSMUSG00000083246.1,chr4,processed_pseudogene,Gm11839,MGI:3651162,pseudogene
ENSMUSG00000081593.1,chr4,processed_pseudogene,Gm11841,MGI:3651164,pseudogene
ENSMUSG00000082676.1,chr4,processed_pseudogene,Gm11843,MGI:3651166,pseudogene
ENSMUSG00000046667.14,chr4,protein_coding,Rbm12b1,MGI:1919647,protein-coding gene
ENSMUSG00000028218.19,chr4,protein_coding,Fam92a,MGI:1915349,protein-coding gene
ENSMUSG00000060989.8,chr4,processed_pseudogene,Gm11847,MGI:3651787,pseudogene
ENSMUSG00000085909.1,chr4,lncRNA,Gm11846,MGI:3651794,lncRNA
ENSMUSG00000104211.1,chr4,TEC,Gm37985,MGI:5611213,TEC
ENSMUSG00000065823.1,chr4,rRNA,n-R5s182,MGI:4422047,rRNA
ENSMUSG00000055963.12,chr4,protein_coding,Triqk,MGI:3650048,protein-coding gene
ENSMUSG00000086227.1,chr4,lncRNA,Gm11820,MGI:3650049,lncRNA
ENSMUSG00000080359.2,chr4,miRNA,Gm26250,MGI:5456027,miRNA
ENSMUSG00000081327.1,chr4,processed_pseudogene,Gm11819,MGI:3650050,pseudogene
ENSMUSG00000083328.3,chr4,processed_pseudogene,Gm11826,MGI:3651142,pseudogene
ENSMUSG00000081063.1,chr4,processed_pseudogene,Gm11825,MGI:3651186,pseudogene
ENSMUSG00000092822.2,chr4,miRNA,Gm23162,MGI:5452939,miRNA
ENSMUSG00000006586.15,chr4,protein_coding,Runx1t1,MGI:104793,protein-coding gene
ENSMUSG00000086927.1,chr4,lncRNA,Gm11823,MGI:3651314,lncRNA
ENSMUSG00000077701.1,chr4,snoRNA,Gm24068,MGI:5453845,snoRNA
ENSMUSG00000082128.1,chr4,processed_pseudogene,Gm11824,MGI:3651313,pseudogene
ENSMUSG00000086068.1,chr4,lncRNA,1700120G11Rik,MGI:1920849,lncRNA
ENSMUSG00000087919.1,chr4,snoRNA,Gm24908,MGI:5454685,snoRNA
ENSMUSG00000081239.3,chr4,processed_pseudogene,Gm11836,MGI:3650063,pseudogene
ENSMUSG00000040569.13,chr4,protein_coding,Slc26a7,MGI:2384791,protein-coding gene
ENSMUSG00000023151.9,chr4,protein_coding,Lrrc69,MGI:1920564,protein-coding gene
ENSMUSG00000083280.1,chr4,processed_pseudogene,Gm11838,MGI:3650938,pseudogene
ENSMUSG00000040550.17,chr4,protein_coding,Otud6b,MGI:1919451,protein-coding gene
ENSMUSG00000028221.3,chr4,protein_coding,Pip4p2,MGI:1919769,protein-coding gene
ENSMUSG00000086587.7,chr4,lncRNA,Gm11837,MGI:3702175,lncRNA
ENSMUSG00000040536.15,chr4,protein_coding,Necab1,MGI:1916602,protein-coding gene
ENSMUSG00000087241.1,chr4,lncRNA,Gm11844,MGI:3651040,lncRNA
ENSMUSG00000083073.1,chr4,processed_pseudogene,Gm11845,MGI:3651557,pseudogene
ENSMUSG00000043252.8,chr4,protein_coding,Tmem64,MGI:2140359,protein-coding gene
ENSMUSG00000096738.1,chr4,snRNA,Gm24317,MGI:5454094,snRNA
ENSMUSG00000080869.1,chr4,processed_pseudogene,Gm11856,MGI:3649310,pseudogene
ENSMUSG00000083330.1,chr4,processed_pseudogene,Gm11859,MGI:3649987,pseudogene
ENSMUSG00000082673.1,chr4,processed_pseudogene,Gm11857,MGI:3649311,pseudogene
ENSMUSG00000084181.1,chr4,processed_pseudogene,Gm11858,MGI:3649986,pseudogene
ENSMUSG00000081026.1,chr4,processed_pseudogene,Gm11855,MGI:3649313,pseudogene
ENSMUSG00000094515.1,chr4,miRNA,Gm24567,MGI:5454344,miRNA
ENSMUSG00000028222.2,chr4,protein_coding,Calb1,MGI:88248,protein-coding gene
ENSMUSG00000088055.1,chr4,snoRNA,Gm26148,MGI:5455925,snoRNA
ENSMUSG00000028223.8,chr4,protein_coding,Decr1,MGI:1914710,protein-coding gene
ENSMUSG00000098929.1,chr4,miRNA,Mir6400,MGI:5530807,miRNA
ENSMUSG00000028224.14,chr4,protein_coding,Nbn,MGI:1351625,protein-coding gene
ENSMUSG00000084190.1,chr4,processed_pseudogene,Gm11869,MGI:3650284,pseudogene
ENSMUSG00000041153.9,chr4,protein_coding,Osgin2,MGI:2384798,protein-coding gene
ENSMUSG00000084408.1,chr4,processed_pseudogene,Gm11870,MGI:3650285,pseudogene
ENSMUSG00000081679.1,chr4,processed_pseudogene,Gm11874,MGI:3649335,pseudogene
ENSMUSG00000041135.15,chr4,protein_coding,Ripk2,MGI:1891456,protein-coding gene
ENSMUSG00000092795.2,chr4,miRNA,Gm22690,MGI:5452467,miRNA
ENSMUSG00000085112.1,chr4,lncRNA,A530072M11Rik,MGI:4440477,lncRNA
ENSMUSG00000083725.1,chr4,processed_pseudogene,Gm11865,MGI:3650453,pseudogene
ENSMUSG00000103595.1,chr4,TEC,Gm37355,MGI:5610583,TEC
ENSMUSG00000080065.2,chr4,processed_pseudogene,Gm11864,MGI:3650454,pseudogene
ENSMUSG00000086072.1,chr4,lncRNA,Gm11861,MGI:3650457,lncRNA
ENSMUSG00000096423.1,chr4,snRNA,Gm24978,MGI:5454755,snRNA
ENSMUSG00000083229.1,chr4,processed_pseudogene,Gm11862,MGI:3650456,pseudogene
ENSMUSG00000064619.1,chr4,snRNA,Gm23975,MGI:5453752,snRNA
ENSMUSG00000082994.1,chr4,processed_pseudogene,Gm11848,MGI:3652231,pseudogene
ENSMUSG00000082552.1,chr4,processed_pseudogene,Gm11850,MGI:3652013,pseudogene
ENSMUSG00000083572.1,chr4,processed_pseudogene,Gm11849,MGI:3652012,pseudogene
ENSMUSG00000089218.1,chr4,snRNA,Gm23384,MGI:5453161,snRNA
ENSMUSG00000085478.1,chr4,lncRNA,Gm11851,MGI:3652014,lncRNA
ENSMUSG00000028226.15,chr4,protein_coding,Mmp16,MGI:1276107,protein-coding gene
ENSMUSG00000083387.1,chr4,processed_pseudogene,Gm11860,MGI:3649715,pseudogene
ENSMUSG00000083150.1,chr4,processed_pseudogene,Gm11852,MGI:3649491,pseudogene
ENSMUSG00000087402.1,chr4,lncRNA,Gm11867,MGI:3650506,lncRNA
ENSMUSG00000080919.1,chr4,processed_pseudogene,Gm11854,MGI:3651402,pseudogene
ENSMUSG00000083660.1,chr4,processed_pseudogene,Gm11853,MGI:3649490,pseudogene
ENSMUSG00000089578.1,chr4,misc_RNA,Gm25971,MGI:5455748,misc_RNA
ENSMUSG00000088500.1,chr4,misc_RNA,Gm24419,MGI:5454196,misc_RNA
ENSMUSG00000050550.7,chr4,processed_pseudogene,Gm11868,MGI:3650507,pseudogene
ENSMUSG00000073991.4,chr4,protein_coding,Cnbd1,MGI:3650508,protein-coding gene
ENSMUSG00000083005.1,chr4,processed_pseudogene,Gm12392,MGI:3651008,pseudogene
ENSMUSG00000083105.1,chr4,processed_pseudogene,Gm12393,MGI:3651009,pseudogene
ENSMUSG00000056494.7,chr4,protein_coding,Cngb3,MGI:1353562,protein-coding gene
ENSMUSG00000082320.1,chr4,processed_pseudogene,Gm11877,MGI:3652029,pseudogene
ENSMUSG00000089090.1,chr4,misc_RNA,Gm25655,MGI:5455432,misc_RNA
ENSMUSG00000028228.5,chr4,protein_coding,Cpne3,MGI:1917818,protein-coding gene
ENSMUSG00000028229.11,chr4,protein_coding,Rmdn1,MGI:1913552,protein-coding gene
ENSMUSG00000078772.2,chr4,protein_coding,Gm12353,MGI:3699710,protein-coding gene
ENSMUSG00000041058.15,chr4,protein_coding,Wwp1,MGI:1861728,protein-coding gene
ENSMUSG00000086071.7,chr4,lncRNA,Gm12354,MGI:3649534,lncRNA
ENSMUSG00000041052.8,chr4,protein_coding,Slc7a13,MGI:1921337,protein-coding gene
ENSMUSG00000028238.6,chr4,protein_coding,Atp6v0d2,MGI:1924415,protein-coding gene
ENSMUSG00000086332.1,chr4,lncRNA,4930480G23Rik,MGI:1922238,lncRNA
ENSMUSG00000073988.13,chr4,protein_coding,Ttpa,MGI:1354168,protein-coding gene
ENSMUSG00000073987.4,chr4,protein_coding,Ggh,MGI:1329035,protein-coding gene
ENSMUSG00000055761.14,chr4,protein_coding,Nkain3,MGI:2444830,protein-coding gene
ENSMUSG00000086017.1,chr4,lncRNA,Gm11872,MGI:3649333,lncRNA
ENSMUSG00000081964.1,chr4,processed_pseudogene,Gm11873,MGI:3649334,pseudogene
ENSMUSG00000083315.1,chr4,processed_pseudogene,Gm11871,MGI:3649332,pseudogene
ENSMUSG00000088073.1,chr4,ribozyme,Gm22817,MGI:5452594,ribozyme
ENSMUSG00000089322.1,chr4,snoRNA,Gm25977,MGI:5455754,snoRNA
ENSMUSG00000083654.1,chr4,processed_pseudogene,Gm11875,MGI:3649519,pseudogene
ENSMUSG00000082672.1,chr4,processed_pseudogene,Gm11876,MGI:3649518,pseudogene
ENSMUSG00000040478.14,chr4,protein_coding,Prdm13,MGI:2448528,protein-coding gene
ENSMUSG00000028252.20,chr4,protein_coding,Ccnc,MGI:1858199,protein-coding gene
ENSMUSG00000028251.5,chr4,protein_coding,Tstd3,MGI:1924282,protein-coding gene
ENSMUSG00000040455.17,chr4,protein_coding,Usp45,MGI:101850,protein-coding gene
ENSMUSG00000028248.15,chr4,protein_coding,Pnisr,MGI:1913875,protein-coding gene
ENSMUSG00000028247.2,chr4,protein_coding,Coq3,MGI:101813,protein-coding gene
ENSMUSG00000028246.13,chr4,protein_coding,Faxc,MGI:1923382,protein-coding gene
ENSMUSG00000080997.1,chr4,processed_pseudogene,Gm11885,MGI:3649645,pseudogene
ENSMUSG00000082490.1,chr4,processed_pseudogene,Gm11880,MGI:3651782,pseudogene
ENSMUSG00000083376.1,chr4,processed_pseudogene,Gm11882,MGI:3651786,pseudogene
ENSMUSG00000040410.14,chr4,protein_coding,Fbxl4,MGI:2140367,protein-coding gene
ENSMUSG00000077561.1,chr4,snoRNA,Gm24607,MGI:5454384,snoRNA
ENSMUSG00000103000.1,chr4,TEC,Gm37900,MGI:5611128,TEC
ENSMUSG00000095139.2,chr4,protein_coding,Pou3f2,MGI:101895,protein-coding gene
ENSMUSG00000107859.1,chr4,lncRNA,Gm30731,MGI:5589890,lncRNA
ENSMUSG00000081810.1,chr4,processed_pseudogene,Gm11878,MGI:3651784,pseudogene
ENSMUSG00000083514.1,chr4,processed_pseudogene,Gm11881,MGI:3652336,pseudogene
ENSMUSG00000080762.1,chr4,processed_pseudogene,Gm11879,MGI:3651783,pseudogene
ENSMUSG00000088809.1,chr4,miRNA,Gm24078,MGI:5453855,miRNA
ENSMUSG00000028244.6,chr4,lncRNA,1700025O08Rik,MGI:1917234,lncRNA
ENSMUSG00000087098.1,chr4,lncRNA,Gm11884,MGI:3651157,lncRNA
ENSMUSG00000083785.1,chr4,processed_pseudogene,Gm11888,MGI:3651111,pseudogene
ENSMUSG00000082876.1,chr4,processed_pseudogene,Gm11889,MGI:3651112,pseudogene
ENSMUSG00000089323.1,chr4,miRNA,Gm25978,MGI:5455755,miRNA
ENSMUSG00000084179.1,chr4,processed_pseudogene,Gm11890,MGI:3651113,pseudogene
ENSMUSG00000100395.1,chr4,lncRNA,Gm28448,MGI:5579154,lncRNA
ENSMUSG00000083154.1,chr4,processed_pseudogene,Gm11892,MGI:3651298,pseudogene
ENSMUSG00000081148.1,chr4,processed_pseudogene,Gm11891,MGI:3651088,pseudogene
ENSMUSG00000099150.1,chr4,lncRNA,Gm27243,MGI:5521086,lncRNA
ENSMUSG00000045751.16,chr4,protein_coding,Mms22l,MGI:2684980,protein-coding gene
ENSMUSG00000040387.16,chr4,protein_coding,Klhl32,MGI:3612790,protein-coding gene
ENSMUSG00000087399.1,chr4,lncRNA,Gm11899,MGI:3649624,lncRNA
ENSMUSG00000028261.13,chr4,protein_coding,Ndufaf4,MGI:1915743,protein-coding gene
ENSMUSG00000046219.9,chr4,lncRNA,C230012O17Rik,MGI:2442283,lncRNA
ENSMUSG00000040372.2,chr4,protein_coding,Gpr63,MGI:2135884,protein-coding gene
ENSMUSG00000085885.1,chr4,lncRNA,Gm11906,MGI:3705114,lncRNA
ENSMUSG00000028259.13,chr4,protein_coding,Fhl5,MGI:1913192,protein-coding gene
ENSMUSG00000040359.14,chr4,protein_coding,Ufl1,MGI:1914740,protein-coding gene
ENSMUSG00000083737.1,chr4,processed_pseudogene,Prdx6-ps2,MGI:1203519,pseudogene
ENSMUSG00000081786.1,chr4,processed_pseudogene,Gm11897,MGI:3651206,pseudogene
ENSMUSG00000082451.1,chr4,processed_pseudogene,Gm11894,MGI:3651417,pseudogene
ENSMUSG00000089327.1,chr4,snoRNA,Gm25975,MGI:5455752,snoRNA
ENSMUSG00000081369.1,chr4,processed_pseudogene,Gm11896,MGI:3651205,pseudogene
ENSMUSG00000081789.1,chr4,processed_pseudogene,Gm11893,MGI:3651418,pseudogene
ENSMUSG00000065040.1,chr4,snRNA,Gm24977,MGI:5454754,snRNA
ENSMUSG00000055373.8,chr4,protein_coding,Fut9,MGI:1330859,protein-coding gene
ENSMUSG00000065048.1,chr4,snRNA,Gm24042,MGI:5453819,snRNA
ENSMUSG00000083835.1,chr4,processed_pseudogene,Gm11898,MGI:3651207,pseudogene
ENSMUSG00000076977.1,chr4,miRNA,Gm26067,MGI:5455844,miRNA
ENSMUSG00000084018.1,chr4,processed_pseudogene,Gm11895,MGI:3651868,pseudogene
ENSMUSG00000088547.1,chr4,snRNA,Gm24965,MGI:5454742,snRNA
ENSMUSG00000040520.7,chr4,protein_coding,Manea,MGI:2444484,protein-coding gene
ENSMUSG00000096105.1,chr4,processed_pseudogene,Bhmt-ps1,MGI:1888909,pseudogene
ENSMUSG00000082573.1,chr4,processed_pseudogene,Gm11903,MGI:3651055,pseudogene
ENSMUSG00000081985.1,chr4,processed_pseudogene,Gng2-ps1,MGI:1336164,pseudogene
ENSMUSG00000082138.1,chr4,processed_pseudogene,Gm11905,MGI:3650369,pseudogene
ENSMUSG00000086257.1,chr4,lncRNA,4930548K13Rik,MGI:1922610,lncRNA
ENSMUSG00000083447.1,chr4,processed_pseudogene,Gm11904,MGI:3650583,pseudogene
ENSMUSG00000080958.1,chr4,processed_pseudogene,Gm11902,MGI:3650593,pseudogene
ENSMUSG00000084163.1,chr4,processed_pseudogene,Gm11901,MGI:3651329,pseudogene
ENSMUSG00000095003.1,chr4,snRNA,Gm25173,MGI:5454950,snRNA
ENSMUSG00000082674.1,chr4,processed_pseudogene,Gm11914,MGI:3649889,pseudogene
ENSMUSG00000080175.2,chr4,processed_pseudogene,Tpm3-rs2,MGI:99710,pseudogene
ENSMUSG00000082977.1,chr4,processed_pseudogene,Gm11911,MGI:3650144,pseudogene
ENSMUSG00000082703.1,chr4,processed_pseudogene,Gm11907,MGI:3650140,pseudogene
ENSMUSG00000077521.1,chr4,snoRNA,Gm25378,MGI:5455155,snoRNA
ENSMUSG00000082359.1,chr4,processed_pseudogene,Gm11908,MGI:3650143,pseudogene
ENSMUSG00000081579.1,chr4,processed_pseudogene,Gm11909,MGI:3650142,pseudogene
ENSMUSG00000084073.1,chr4,processed_pseudogene,Gm11910,MGI:3651484,pseudogene
ENSMUSG00000083214.1,chr4,processed_pseudogene,Gm11912,MGI:3650147,pseudogene
ENSMUSG00000081011.1,chr4,processed_pseudogene,Gm11913,MGI:3650146,pseudogene
ENSMUSG00000028289.12,chr4,protein_coding,Epha7,MGI:95276,protein-coding gene
ENSMUSG00000086774.1,chr4,lncRNA,Gm11915,MGI:3650126,lncRNA
ENSMUSG00000087316.1,chr4,lncRNA,Gm11917,MGI:3651770,lncRNA
ENSMUSG00000086339.1,chr4,lncRNA,Gm11916,MGI:3650125,lncRNA
ENSMUSG00000080911.1,chr4,processed_pseudogene,Gm11918,MGI:3651436,pseudogene
ENSMUSG00000082486.1,chr4,processed_pseudogene,Gm11919,MGI:3650122,pseudogene
ENSMUSG00000082058.1,chr4,processed_pseudogene,Gm11923,MGI:3652068,pseudogene
ENSMUSG00000080771.1,chr4,processed_pseudogene,Gm11925,MGI:3649864,pseudogene
ENSMUSG00000087180.1,chr4,lncRNA,Gm11924,MGI:3649863,lncRNA
ENSMUSG00000085522.1,chr4,lncRNA,4930556G01Rik,MGI:1922582,lncRNA
ENSMUSG00000093947.1,chr4,miRNA,Gm22831,MGI:5452608,miRNA
ENSMUSG00000082949.1,chr4,processed_pseudogene,Gm11920,MGI:3650119,pseudogene
ENSMUSG00000065053.1,chr4,snRNA,Gm25705,MGI:5455482,snRNA
ENSMUSG00000082254.1,chr4,processed_pseudogene,Gm11922,MGI:3650177,pseudogene
