"entrez","hgnc_id","hgnc_gene","hgnc_symbol","gene_type"
"26258","8549","biogenesis of lysosomal organelles complex 1 subunit 6","BLOC1S6","protein-coding gene"
"5036","8550","proliferation-associated 2G4","PA2G4","protein-coding gene"
"389884","8551","proliferation-associated 2G4 pseudogene 1","PA2G4P1","pseudogene"
"26986","8554","poly(A) binding protein cytoplasmic 1","PABPC1","protein-coding gene"
"5042","8556","poly(A) binding protein cytoplasmic 3","PABPC3","protein-coding gene"
"8761","8557","poly(A) binding protein cytoplasmic 4","PABPC4","protein-coding gene"
"26980","8558","poly(A) binding protein cytoplasmic 1 pseudogene 1","PABPC1P1","pseudogene"
"728773","8559","poly(A) binding protein cytoplasmic 1 pseudogene 2","PABPC1P2","pseudogene"
"26978","8560","poly(A) binding protein cytoplasmic 1 pseudogene 3","PABPC1P3","pseudogene"
"341315","8563","poly(A) binding protein cytoplasmic 1 pseudogene 4","PABPC1P4","pseudogene"
"8106","8565","poly(A) binding protein nuclear 1","PABPN1","protein-coding gene"
"5043","8566","pseudoautosomal boundary region, X-linked","PABX","other"
"5044","8567","pseudoautosomal boundary region, Y-linked","PABY","other"
"5045","8568","furin, paired basic amino acid cleaving enzyme","FURIN","protein-coding gene"
"5046","8569","proprotein convertase subtilisin/kexin type 6","PCSK6","protein-coding gene"
"29993","8570","protein kinase C and casein kinase substrate in neurons 1","PACSIN1","protein-coding gene"
"11252","8571","protein kinase C and casein kinase substrate in neurons 2","PACSIN2","protein-coding gene"
"29763","8572","protein kinase C and casein kinase substrate in neurons 3","PACSIN3","protein-coding gene"
"5047","8573","progestagen associated endometrial protein","PAEP","protein-coding gene"
"5048","8574","platelet activating factor acetylhydrolase 1b regulatory subunit 1","PAFAH1B1","protein-coding gene"
"5049","8575","platelet activating factor acetylhydrolase 1b catalytic subunit 2","PAFAH1B2","protein-coding gene"
"5050","8576","platelet activating factor acetylhydrolase 1b catalytic subunit 3","PAFAH1B3","protein-coding gene"
"7845","8577","platelet activating factor acetylhydrolase 1b regulatory subunit 1 pseudogene 1","PAFAH1B1P1","pseudogene"
"27002","8578","platelet activating factor acetylhydrolase 1b regulatory subunit 1 pseudogene 2","PAFAH1B1P2","pseudogene"
"5051","8579","platelet activating factor acetylhydrolase 2","PAFAH2","protein-coding gene"
"5053","8582","phenylalanine hydroxylase","PAH","protein-coding gene"
"5054","8583","serpin family E member 1","SERPINE1","protein-coding gene"
"5055","8584","serpin family B member 2","SERPINB2","protein-coding gene"
"10606","8587","phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase","PAICS","protein-coding gene"
"780814","8588","phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase pseudogene 1","PAICSP1","pseudogene"
"780815","8589","phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase pseudogene 2","PAICSP2","pseudogene"
"5058","8590","p21 (RAC1) activated kinase 1","PAK1","protein-coding gene"
"5062","8591","p21 (RAC1) activated kinase 2","PAK2","protein-coding gene"
"5063","8592","p21 (RAC1) activated kinase 3","PAK3","protein-coding gene"
"5064","8594","paralemmin","PALM","protein-coding gene"
"5066","8596","peptidylglycine alpha-amidating monooxygenase","PAM","protein-coding gene"
"53354","8598","pantothenate kinase 1","PANK1","protein-coding gene"
"24145","8599","pannexin 1","PANX1","protein-coding gene"
"56666","8600","pannexin 2","PANX2","protein-coding gene"
"5068","8601","regenerating family member 3 alpha","REG3A","protein-coding gene"
"5069","8602","pappalysin 1","PAPPA","protein-coding gene"
"9061","8603","3'-phosphoadenosine 5'-phosphosulfate synthase 1","PAPSS1","protein-coding gene"
"9060","8604","3'-phosphoadenosine 5'-phosphosulfate synthase 2","PAPSS2","protein-coding gene"
"8505","8605","poly(ADP-ribose) glycohydrolase","PARG","protein-coding gene"
"5071","8607","parkin RBR E3 ubiquitin protein ligase","PRKN","protein-coding gene"
"5072","8608","Parkinson disease 3 (autosomal dominant, Lewy body)","PARK3","phenotype"
"5073","8609","poly(A)-specific ribonuclease","PARN","protein-coding gene"
"5074","8614","pro-apoptotic WT1 regulator","PAWR","protein-coding gene"
"5075","8615","paired box 1","PAX1","protein-coding gene"
"5076","8616","paired box 2","PAX2","protein-coding gene"
"5077","8617","paired box 3","PAX3","protein-coding gene"
"5078","8618","paired box 4","PAX4","protein-coding gene"
"5079","8619","paired box 5","PAX5","protein-coding gene"
"5080","8620","paired box 6","PAX6","protein-coding gene"
"5081","8621","paired box 7","PAX7","protein-coding gene"
"7849","8622","paired box 8","PAX8","protein-coding gene"
"5083","8623","paired box 9","PAX9","protein-coding gene"
"22976","8624","PAX interacting protein 1","PAXIP1","protein-coding gene"
"7948","8625","progressive bifocal chorioretinal atrophy 1","PBCRA1","phenotype"
"5084","8627","pancreatic beta cell glycoprotein 1","PBG1","other"
"5037","8630","phosphatidylethanolamine binding protein 1","PEBP1","protein-coding gene"
"5087","8632","PBX homeobox 1","PBX1","protein-coding gene"
"5089","8633","PBX homeobox 2","PBX2","protein-coding gene"
"5090","8634","PBX homeobox 3","PBX3","protein-coding gene"
"5088","8635","PBX homeobox 2 pseudogene 1","PBX2P1","pseudogene"
"5091","8636","pyruvate carboxylase","PC","protein-coding gene"
"50652","8637","prostate cancer associated 3 (non-protein coding)","PCA3","non-coding RNA"
"8850","8638","lysine acetyltransferase 2B","KAT2B","protein-coding gene"
"85414","8642","solute carrier family 45 member 3","SLC45A3","protein-coding gene"
"7834","8645","predisposing for prostate cancer","PCAP","phenotype"
"5092","8646","pterin-4 alpha-carbinolamine dehydratase 1","PCBD1","protein-coding gene"
"5093","8647","poly(rC) binding protein 1","PCBP1","protein-coding gene"
"5094","8648","poly(rC) binding protein 2","PCBP2","protein-coding gene"
"101060045","8649","poly(rC) binding protein 2 pseudogene 1","PCBP2P1","pseudogene"
"286157","8650","poly(rC) binding protein 2 pseudogene 2","PCBP2P2","pseudogene"
"54039","8651","poly(rC) binding protein 3","PCBP3","protein-coding gene"
"57060","8652","poly(rC) binding protein 4","PCBP4","protein-coding gene"
"5095","8653","propionyl-CoA carboxylase alpha subunit","PCCA","protein-coding gene"
"5096","8654","propionyl-CoA carboxylase beta subunit","PCCB","protein-coding gene"
"5097","8655","protocadherin 1","PCDH1","protein-coding gene"
"27328","8656","protocadherin 11 X-linked","PCDH11X","protein-coding gene"
"51294","8657","protocadherin 12","PCDH12","protein-coding gene"
"5099","8659","protocadherin 7","PCDH7","protein-coding gene"
"5100","8660","protocadherin 8","PCDH8","protein-coding gene"
"5101","8661","protocadherin 9","PCDH9","protein-coding gene"
"56117","8662","protocadherin alpha cluster, complex locus","PCDHA@","protein-coding gene"
"56147","8663","protocadherin alpha 1","PCDHA1","other"
"56139","8664","protocadherin alpha 10","PCDHA10","other"
"56138","8665","protocadherin alpha 11","PCDHA11","other"
"56137","8666","protocadherin alpha 12","PCDHA12","other"
"56136","8667","protocadherin alpha 13","PCDHA13","other"
"56146","8668","protocadherin alpha 2","PCDHA2","other"
"56145","8669","protocadherin alpha 3","PCDHA3","other"
"56144","8670","protocadherin alpha 4","PCDHA4","other"
"56143","8671","protocadherin alpha 5","PCDHA5","other"
"56142","8672","protocadherin alpha 6","PCDHA6","other"
"56141","8673","protocadherin alpha 7","PCDHA7","other"
"56140","8674","protocadherin alpha 8","PCDHA8","other"
"9752","8675","protocadherin alpha 9","PCDHA9","other"
"56135","8676","protocadherin alpha subfamily C, 1","PCDHAC1","other"
"56134","8677","protocadherin alpha subfamily C, 2","PCDHAC2","other"
"56119","8678","protocadherin alpha constant","PCDHACT","other"
"56116","8679","protocadherin beta cluster","PCDHB@","protein-coding gene"
"29930","8680","protocadherin beta 1","PCDHB1","other"
"56126","8681","protocadherin beta 10","PCDHB10","other"
"56125","8682","protocadherin beta 11","PCDHB11","other"
"56124","8683","protocadherin beta 12","PCDHB12","other"
"56123","8684","protocadherin beta 13","PCDHB13","other"
"56122","8685","protocadherin beta 14","PCDHB14","other"
"56121","8686","protocadherin beta 15","PCDHB15","other"
"56133","8687","protocadherin beta 2","PCDHB2","other"
"56132","8688","protocadherin beta 3","PCDHB3","other"
"56131","8689","protocadherin beta 4","PCDHB4","other"
"26167","8690","protocadherin beta 5","PCDHB5","other"
"56130","8691","protocadherin beta 6","PCDHB6","other"
"56129","8692","protocadherin beta 7","PCDHB7","other"
"56128","8693","protocadherin beta 8","PCDHB8","other"
"56127","8694","protocadherin beta 9","PCDHB9","other"
"56115","8695","protocadherin gamma cluster","PCDHG@","protein-coding gene"
"56114","8696","protocadherin gamma subfamily A, 1","PCDHGA1","other"
"56106","8697","protocadherin gamma subfamily A, 10","PCDHGA10","other"
"56105","8698","protocadherin gamma subfamily A, 11","PCDHGA11","other"
"26025","8699","protocadherin gamma subfamily A, 12","PCDHGA12","other"
"56113","8700","protocadherin gamma subfamily A, 2","PCDHGA2","other"
"56112","8701","protocadherin gamma subfamily A, 3","PCDHGA3","other"
"56111","8702","protocadherin gamma subfamily A, 4","PCDHGA4","other"
"56110","8703","protocadherin gamma subfamily A, 5","PCDHGA5","other"
"56109","8704","protocadherin gamma subfamily A, 6","PCDHGA6","other"
"56108","8705","protocadherin gamma subfamily A, 7","PCDHGA7","other"
"9708","8706","protocadherin gamma subfamily A, 8","PCDHGA8","other"
"56107","8707","protocadherin gamma subfamily A, 9","PCDHGA9","other"
"56104","8708","protocadherin gamma subfamily B, 1","PCDHGB1","other"
"56103","8709","protocadherin gamma subfamily B, 2","PCDHGB2","other"
"56102","8710","protocadherin gamma subfamily B, 3","PCDHGB3","other"
"8641","8711","protocadherin gamma subfamily B, 4","PCDHGB4","other"
"56101","8712","protocadherin gamma subfamily B, 5","PCDHGB5","other"
"56100","8713","protocadherin gamma subfamily B, 6","PCDHGB6","other"
"56099","8714","protocadherin gamma subfamily B, 7","PCDHGB7","other"
"56120","8715","protocadherin gamma subfamily B, 8 pseudogene","PCDHGB8P","pseudogene"
"5098","8716","protocadherin gamma subfamily C, 3","PCDHGC3","other"
"56098","8717","protocadherin gamma subfamily C, 4","PCDHGC4","other"
"56097","8718","protocadherin gamma subfamily C, 5","PCDHGC5","other"
"56118","8719","protocadherin gamma constant","PCDHGCT","other"
"5104","8723","serpin family A member 5","SERPINA5","protein-coding gene"
"5105","8724","phosphoenolpyruvate carboxykinase 1","PCK1","protein-coding gene"
"5106","8725","phosphoenolpyruvate carboxykinase 2, mitochondrial","PCK2","protein-coding gene"
"5108","8727","pericentriolar material 1","PCM1","protein-coding gene"
"5110","8728","protein-L-isoaspartate (D-aspartate) O-methyltransferase","PCMT1","protein-coding gene"
"5111","8729","proliferating cell nuclear antigen","PCNA","protein-coding gene"
"359806","8732","proliferating cell nuclear antigen pseudogene 1","PCNAP1","pseudogene"
"359805","8733","proliferating cell nuclear antigen pseudogene 2","PCNAP2","pseudogene"
"79902","8734","nucleoporin 85","NUP85","protein-coding gene"
"80003","8736","pecanex homolog 2","PCNX2","protein-coding gene"
"5118","8738","procollagen C-endopeptidase enhancer","PCOLCE","protein-coding gene"
"26577","8739","procollagen C-endopeptidase enhancer 2","PCOLCE2","protein-coding gene"
"5119","8740","charged multivesicular body protein 1A","CHMP1A","protein-coding gene"
"5120","8741","polycystic ovary syndrome 1","PCOS1","phenotype"
"5121","8742","Purkinje cell protein 4","PCP4","protein-coding gene"
"5122","8743","proprotein convertase subtilisin/kexin type 1","PCSK1","protein-coding gene"
"5126","8744","proprotein convertase subtilisin/kexin type 2","PCSK2","protein-coding gene"
"54760","8746","proprotein convertase subtilisin/kexin type 4","PCSK4","protein-coding gene"
"5125","8747","proprotein convertase subtilisin/kexin type 5","PCSK5","protein-coding gene"
"9159","8748","proprotein convertase subtilisin/kexin type 7","PCSK7","protein-coding gene"
"5127","8749","cyclin dependent kinase 16","CDK16","protein-coding gene"
"5128","8750","cyclin dependent kinase 17","CDK17","protein-coding gene"
"5129","8751","cyclin dependent kinase 18","CDK18","protein-coding gene"
"58488","8752","phosphatidylcholine transfer protein","PCTP","protein-coding gene"
"5130","8754","phosphate cytidylyltransferase 1, choline, alpha","PCYT1A","protein-coding gene"
"9468","8755","phosphate cytidylyltransferase 1, choline, beta","PCYT1B","protein-coding gene"
"5833","8756","phosphate cytidylyltransferase 2, ethanolamine","PCYT2","protein-coding gene"
"5131","8757","Paget disease of bone 1","PDB1","phenotype"
"5132","8759","phosducin","PDC","protein-coding gene"
"5133","8760","programmed cell death 1","PDCD1","protein-coding gene"
"11235","8761","programmed cell death 10","PDCD10","protein-coding gene"
"5134","8762","programmed cell death 2","PDCD2","protein-coding gene"
"27250","8763","programmed cell death 4","PDCD4","protein-coding gene"
"9141","8764","programmed cell death 5","PDCD5","protein-coding gene"
"10016","8765","programmed cell death 6","PDCD6","protein-coding gene"
"10015","8766","programmed cell death 6 interacting protein","PDCD6IP","protein-coding gene"
"10081","8767","programmed cell death 7","PDCD7","protein-coding gene"
"9131","8768","apoptosis inducing factor mitochondria associated 1","AIFM1","protein-coding gene"
"10884","8769","mitochondrial ribosomal protein S30","MRPS30","protein-coding gene"
"5082","8770","phosducin like","PDCL","protein-coding gene"
"10846","8772","phosphodiesterase 10A","PDE10A","protein-coding gene"
"50940","8773","phosphodiesterase 11A","PDE11A","protein-coding gene"
"5136","8774","phosphodiesterase 1A","PDE1A","protein-coding gene"
"5153","8775","phosphodiesterase 1B","PDE1B","protein-coding gene"
"5137","8776","phosphodiesterase 1C","PDE1C","protein-coding gene"
"5138","8777","phosphodiesterase 2A","PDE2A","protein-coding gene"
"5139","8778","phosphodiesterase 3A","PDE3A","protein-coding gene"
"5140","8779","phosphodiesterase 3B","PDE3B","protein-coding gene"
"5141","8780","phosphodiesterase 4A","PDE4A","protein-coding gene"
"5142","8781","phosphodiesterase 4B","PDE4B","protein-coding gene"
"5143","8782","phosphodiesterase 4C","PDE4C","protein-coding gene"
"5144","8783","phosphodiesterase 4D","PDE4D","protein-coding gene"
"8654","8784","phosphodiesterase 5A","PDE5A","protein-coding gene"
"5145","8785","phosphodiesterase 6A","PDE6A","protein-coding gene"
"5158","8786","phosphodiesterase 6B","PDE6B","protein-coding gene"
"5146","8787","phosphodiesterase 6C","PDE6C","protein-coding gene"
"5147","8788","phosphodiesterase 6D","PDE6D","protein-coding gene"
"5148","8789","phosphodiesterase 6G","PDE6G","protein-coding gene"
"5149","8790","phosphodiesterase 6H","PDE6H","protein-coding gene"
"5150","8791","phosphodiesterase 7A","PDE7A","protein-coding gene"
"27115","8792","phosphodiesterase 7B","PDE7B","protein-coding gene"
"5151","8793","phosphodiesterase 8A","PDE8A","protein-coding gene"
"8622","8794","phosphodiesterase 8B","PDE8B","protein-coding gene"
"5152","8795","phosphodiesterase 9A","PDE9A","protein-coding gene"
"5154","8799","platelet derived growth factor subunit A","PDGFA","protein-coding gene"
"5155","8800","platelet derived growth factor subunit B","PDGFB","protein-coding gene"
"56034","8801","platelet derived growth factor C","PDGFC","protein-coding gene"
"5156","8803","platelet derived growth factor receptor alpha","PDGFRA","protein-coding gene"
"5159","8804","platelet derived growth factor receptor beta","PDGFRB","protein-coding gene"
"5157","8805","platelet derived growth factor receptor like","PDGFRL","protein-coding gene"
"5160","8806","pyruvate dehydrogenase alpha 1","PDHA1","protein-coding gene"
"5161","8807","pyruvate dehydrogenase alpha 2","PDHA2","protein-coding gene"
"5162","8808","pyruvate dehydrogenase (lipoamide) beta","PDHB","protein-coding gene"
"5163","8809","pyruvate dehydrogenase kinase 1","PDK1","protein-coding gene"
"5164","8810","pyruvate dehydrogenase kinase 2","PDK2","protein-coding gene"
"5165","8811","pyruvate dehydrogenase kinase 3","PDK3","protein-coding gene"
"5166","8812","pyruvate dehydrogenase kinase 4","PDK4","protein-coding gene"
"5170","8816","3-phosphoinositide dependent protein kinase 1","PDPK1","protein-coding gene"
"5171","8817","pigment disorder, reticulate","PDR","phenotype"
"5172","8818","solute carrier family 26 member 4","SLC26A4","protein-coding gene"
"8566","8819","pyridoxal kinase","PDXK","protein-coding gene"
"5173","8820","prodynorphin","PDYN","protein-coding gene"
"5174","8821","PDZ domain containing 1","PDZK1","protein-coding gene"
"8682","8822","phosphoprotein enriched in astrocytes 15","PEA15","protein-coding gene"
"5175","8823","platelet and endothelial cell adhesion molecule 1","PECAM1","protein-coding gene"
"5176","8824","serpin family F member 1","SERPINF1","protein-coding gene"
"5177","8825","preeclampsia/eclampsia 1","PEE1","phenotype"
"5178","8826","paternally expressed 3","PEG3","protein-coding gene"
"57162","8827","pellino E3 ubiquitin protein ligase 1","PELI1","protein-coding gene"
"57161","8828","pellino E3 ubiquitin protein ligase family member 2","PELI2","protein-coding gene"
"53918","8829","pelota homolog (Drosophila)","PELO","protein-coding gene"
"10400","8830","phosphatidylethanolamine N-methyltransferase","PEMT","protein-coding gene"
"5179","8831","proenkephalin","PENK","protein-coding gene"
"5182","8838","peptidase B","PEPB","other"
"5183","8839","peptidase C","PEPC","other"
"5184","8840","peptidase D","PEPD","protein-coding gene"
"5185","8841","peptidase E","PEPE","other"
"5187","8845","period circadian clock 1","PER1","protein-coding gene"
"8864","8846","period circadian clock 2","PER2","protein-coding gene"
"8863","8847","period circadian clock 3","PER3","protein-coding gene"
"23481","8848","pescadillo ribosomal biogenesis factor 1","PES1","protein-coding gene"
"5188","8849","glutamyl-tRNA amidotransferase subunit B","GATB","protein-coding gene"
"5189","8850","peroxisomal biogenesis factor 1","PEX1","protein-coding gene"
"5192","8851","peroxisomal biogenesis factor 10","PEX10","protein-coding gene"
"8800","8852","peroxisomal biogenesis factor 11 alpha","PEX11A","protein-coding gene"
"8799","8853","peroxisomal biogenesis factor 11 beta","PEX11B","protein-coding gene"
"5193","8854","peroxisomal biogenesis factor 12","PEX12","protein-coding gene"
"5194","8855","peroxisomal biogenesis factor 13","PEX13","protein-coding gene"
"5195","8856","peroxisomal biogenesis factor 14","PEX14","protein-coding gene"
"9409","8857","peroxisomal biogenesis factor 16","PEX16","protein-coding gene"
"8504","8858","peroxisomal biogenesis factor 3","PEX3","protein-coding gene"
"5190","8859","peroxisomal biogenesis factor 6","PEX6","protein-coding gene"
"5191","8860","peroxisomal biogenesis factor 7","PEX7","protein-coding gene"
"5196","8861","platelet factor 4","PF4","protein-coding gene"
"5197","8862","platelet factor 4 variant 1","PF4V1","protein-coding gene"
"5198","8863","phosphoribosylformylglycinamidine synthase","PFAS","protein-coding gene"
"5199","8864","complement factor properdin","CFP","protein-coding gene"
"5201","8866","prefoldin subunit 1","PFDN1","protein-coding gene"
"5202","8867","prefoldin subunit 2","PFDN2","protein-coding gene"
"5203","8868","prefoldin subunit 4","PFDN4","protein-coding gene"
"5204","8869","prefoldin subunit 5","PFDN5","protein-coding gene"
"5207","8872","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1","PFKFB1","protein-coding gene"
"5208","8873","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2","PFKFB2","protein-coding gene"
"5209","8874","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3","PFKFB3","protein-coding gene"
"5210","8875","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4","PFKFB4","protein-coding gene"
"5211","8876","phosphofructokinase, liver type","PFKL","protein-coding gene"
"5213","8877","phosphofructokinase, muscle","PFKM","protein-coding gene"
"5214","8878","phosphofructokinase, platelet","PFKP","protein-coding gene"
"5216","8881","profilin 1","PFN1","protein-coding gene"
"5217","8882","profilin 2","PFN2","protein-coding gene"
"5218","8883","cyclin dependent kinase 14","CDK14","protein-coding gene"
"643834","8885","pepsinogen 3, group I (pepsinogen A)","PGA3","protein-coding gene"
"643847","8886","pepsinogen 4, group I (pepsinogen A)","PGA4","protein-coding gene"
"5222","8887","pepsinogen 5, group I (pepsinogen A)","PGA5","protein-coding gene"
"5223","8888","phosphoglycerate mutase 1","PGAM1","protein-coding gene"
"5224","8889","phosphoglycerate mutase 2","PGAM2","protein-coding gene"
"5225","8890","progastricsin","PGC","protein-coding gene"
"5226","8891","phosphogluconate dehydrogenase","PGD","protein-coding gene"
"342705","8892","phosphogluconate dehydrogenase pseudogene 1","PGDP1","pseudogene"
"5228","8893","placental growth factor","PGF","protein-coding gene"
"5229","8895","protein geranylgeranyltransferase type I subunit beta","PGGT1B","protein-coding gene"
"5230","8896","phosphoglycerate kinase 1","PGK1","protein-coding gene"
"5231","8897","phosphoglycerate kinase 1, pseudogene 1","PGK1P1","pseudogene"
"5232","8898","phosphoglycerate kinase 2","PGK2","protein-coding gene"
"5233","8899","phosphoglycerate kinase 1, pseudogene 2","PGK1P2","pseudogene"
"25796","8903","6-phosphogluconolactonase","PGLS","protein-coding gene"
"8993","8904","peptidoglycan recognition protein 1","PGLYRP1","protein-coding gene"
"5236","8905","phosphoglucomutase 1","PGM1","protein-coding gene"
"55276","8906","phosphoglucomutase 2","PGM2","protein-coding gene"
"5238","8907","phosphoglucomutase 3","PGM3","protein-coding gene"
"5239","8908","phosphoglucomutase 5","PGM5","protein-coding gene"
"283871","8909","phosphoglycolate phosphatase","PGP","protein-coding gene"
"5241","8910","progesterone receptor","PGR","protein-coding gene"
"5245","8912","prohibitin","PHB","protein-coding gene"
"5246","8913","prohibitin pseudogene 1","PHBP1","pseudogene"
"100418837","8914","prohibitin pseudogene 2","PHBP2","pseudogene"
"391044","8915","prohibitin pseudogene 3","PHBP3","pseudogene"
"100418774","8916","prohibitin pseudogene 4","PHBP4","pseudogene"
"5251","8918","phosphate regulating endopeptidase homolog X-linked","PHEX","protein-coding gene"
"5252","8919","PHD finger protein 1","PHF1","protein-coding gene"
"5253","8920","PHD finger protein 2","PHF2","protein-coding gene"
"23469","8921","PHD finger protein 3","PHF3","protein-coding gene"
"26227","8923","phosphoglycerate dehydrogenase","PHGDH","protein-coding gene"
"5255","8925","phosphorylase kinase regulatory subunit alpha 1","PHKA1","protein-coding gene"
"5256","8926","phosphorylase kinase regulatory subunit alpha 2","PHKA2","protein-coding gene"
"5257","8927","phosphorylase kinase regulatory subunit beta","PHKB","protein-coding gene"
"5258","8928","phosphorylase kinase regulatory subunit beta pseudogene 1","PHKBP1","pseudogene"
"5259","8929","phosphorylase kinase regulatory subunit beta pseudogene 2","PHKBP2","pseudogene"
"5260","8930","phosphorylase kinase catalytic subunit gamma 1","PHKG1","protein-coding gene"
"5261","8931","phosphorylase kinase catalytic subunit gamma 2","PHKG2","protein-coding gene"
"5262","8932","phosphorylase kinase catalytic subunit gamma 1 pseudogene 3","PHKG1P3","pseudogene"
"22822","8933","pleckstrin homology like domain family A member 1","PHLDA1","protein-coding gene"
"23612","8934","pleckstrin homology like domain family A member 3","PHLDA3","protein-coding gene"
"10745","8939","putative homeodomain transcription factor 1","PHTF1","protein-coding gene"
"5264","8940","phytanoyl-CoA 2-hydroxylase","PHYH","protein-coding gene"
"5265","8941","serpin family A member 1","SERPINA1","protein-coding gene"
"5273","8942","serpin family B member 10","SERPINB10","protein-coding gene"
"5274","8943","serpin family I member 1","SERPINI1","protein-coding gene"
"5275","8944","serpin family B member 13","SERPINB13","protein-coding gene"
"5276","8945","serpin family I member 2","SERPINI2","protein-coding gene"
"51050","8946","peptidase inhibitor 15","PI15","protein-coding gene"
"5266","8947","peptidase inhibitor 3","PI3","protein-coding gene"
"5267","8948","serpin family A member 4","SERPINA4","protein-coding gene"
"5268","8949","serpin family B member 5","SERPINB5","protein-coding gene"
"5269","8950","serpin family B member 6","SERPINB6","protein-coding gene"
"5270","8951","serpin family E member 2","SERPINE2","protein-coding gene"
"5271","8952","serpin family B member 8","SERPINB8","protein-coding gene"
"11029","8953","serpin family B member 8 pseudogene 1","SERPINB8P1","pseudogene"
"5272","8955","serpin family B member 9","SERPINB9","protein-coding gene"
"27124","8956","inositol polyphosphate-5-phosphatase J","INPP5J","protein-coding gene"
"5277","8957","phosphatidylinositol glycan anchor biosynthesis class A","PIGA","protein-coding gene"
"5278","8958","phosphatidylinositol glycan anchor biosynthesis class A pseudogene 1","PIGAP1","pseudogene"
"9488","8959","phosphatidylinositol glycan anchor biosynthesis class B","PIGB","protein-coding gene"
"5279","8960","phosphatidylinositol glycan anchor biosynthesis class C","PIGC","protein-coding gene"
"5280","8961","phosphatidylinositol glycan anchor biosynthesis class C pseudogene 1","PIGCP1","pseudogene"
"5281","8962","phosphatidylinositol glycan anchor biosynthesis class F","PIGF","protein-coding gene"
"5282","8963","phosphatidylinositol glycan anchor biosynthesis class F pseudogene 1","PIGFP1","pseudogene"
"5283","8964","phosphatidylinositol glycan anchor biosynthesis class H","PIGH","protein-coding gene"
"10026","8965","phosphatidylinositol glycan anchor biosynthesis class K","PIGK","protein-coding gene"
"9487","8966","phosphatidylinositol glycan anchor biosynthesis class L","PIGL","protein-coding gene"
"23556","8967","phosphatidylinositol glycan anchor biosynthesis class N","PIGN","protein-coding gene"
"5284","8968","polymeric immunoglobulin receptor","PIGR","protein-coding gene"
"5286","8971","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha","PIK3C2A","protein-coding gene"
"5287","8972","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta","PIK3C2B","protein-coding gene"
"5288","8973","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma","PIK3C2G","protein-coding gene"
"5289","8974","phosphatidylinositol 3-kinase catalytic subunit type 3","PIK3C3","protein-coding gene"
"5290","8975","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","PIK3CA","protein-coding gene"
"5291","8976","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta","PIK3CB","protein-coding gene"
"5293","8977","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta","PIK3CD","protein-coding gene"
"5294","8978","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma","PIK3CG","protein-coding gene"
"5295","8979","phosphoinositide-3-kinase regulatory subunit 1","PIK3R1","protein-coding gene"
"5296","8980","phosphoinositide-3-kinase regulatory subunit 2","PIK3R2","protein-coding gene"
"8503","8981","phosphoinositide-3-kinase regulatory subunit 3","PIK3R3","protein-coding gene"
"30849","8982","phosphoinositide-3-kinase regulatory subunit 4","PIK3R4","protein-coding gene"
"5297","8983","phosphatidylinositol 4-kinase alpha","PI4KA","protein-coding gene"
"5298","8984","phosphatidylinositol 4-kinase beta","PI4KB","protein-coding gene"
"390502","8985","serpin family A member 2 (gene/pseudogene)","SERPINA2","protein-coding gene"
"5292","8986","Pim-1 proto-oncogene, serine/threonine kinase","PIM1","protein-coding gene"
"11040","8987","Pim-2 proto-oncogene, serine/threonine kinase","PIM2","protein-coding gene"
"5300","8988","peptidylprolyl cis/trans isomerase, NIMA-interacting 1","PIN1","protein-coding gene"
"5301","8989","peptidylprolyl cis/trans isomerase, NIMA-interacting 1 pseudogene 1","PIN1P1","pseudogene"
"5303","8992","peptidylprolyl cis/trans isomerase, NIMA-interacting 4","PIN4","protein-coding gene"
"5304","8993","prolactin induced protein","PIP","protein-coding gene"
"8394","8994","phosphatidylinositol-4-phosphate 5-kinase type 1 alpha","PIP5K1A","protein-coding gene"
"8395","8995","phosphatidylinositol-4-phosphate 5-kinase type 1 beta","PIP5K1B","protein-coding gene"
"23396","8996","phosphatidylinositol-4-phosphate 5-kinase type 1 gamma","PIP5K1C","protein-coding gene"
"5305","8997","phosphatidylinositol-5-phosphate 4-kinase type 2 alpha","PIP4K2A","protein-coding gene"
"8396","8998","phosphatidylinositol-5-phosphate 4-kinase type 2 beta","PIP4K2B","protein-coding gene"
"23761","8999","phosphatidylserine decarboxylase","PISD","protein-coding gene"
"5306","9001","phosphatidylinositol transfer protein alpha","PITPNA","protein-coding gene"
"23760","9002","phosphatidylinositol transfer protein beta","PITPNB","protein-coding gene"
